,comprimento de onda,cor
0,470.0,azul
1,467.65,azul
2,470.31,azul
3,474.96,azul
4,470.61,azul
5,478.27,azul
6,471.92,azul
7,476.57,azul
8,475.23,azul
9,481.88,azul
10,478.53,azul
11,475.19,azul
12,483.84,azul
13,480.49,azul
14,485.15,azul
15,481.8,azul
16,481.45,azul
17,484.11,azul
18,486.76,azul
19,484.41,azul
20,488.07,azul
21,481.72,azul
22,484.37,azul
23,489.03,azul
24,482.68,azul
25,486.33,azul
26,482.98,azul
27,487.64,azul
28,493.29,azul
29,485.94,azul
30,493.6,azul
31,489.25,azul
32,489.9,azul
33,492.56,azul
34,490.21,azul
35,491.86,azul
36,493.52,azul
37,499.17,azul
38,493.82,azul
39,489.48,azul
40,498.13,azul
41,495.78,azul
42,497.44,azul
43,496.09,azul
44,499.74,azul
45,498.4,azul
46,496.05,azul
47,505.7,azul
48,500.36,azul
49,506.01,azul
50,498.66,azul
51,508.32,azul
52,502.97,azul
53,502.62,azul
54,504.28,azul
55,508.93,azul
56,508.58,azul
57,504.24,azul
58,505.89,azul
59,506.54,azul
60,509.2,azul
61,511.85,azul
62,511.5,azul
63,508.16,azul
64,511.81,azul
65,509.46,azul
66,514.12,azul
67,515.77,azul
68,514.4200000000001,azul
69,511.08,azul
70,511.73,azul
71,512.38,azul
72,512.04,azul
73,520.69,azul
74,518.3399999999999,azul
75,517.99,azul
76,518.65,azul
77,523.3,azul
78,520.95,azul
79,519.61,azul
80,521.26,azul
81,522.91,azul
82,523.57,azul
83,524.22,azul
84,521.87,azul
85,526.53,azul
86,523.18,azul
87,525.83,azul
88,520.49,azul
89,528.14,azul
90,528.79,azul
91,531.45,azul
92,532.1,azul
93,527.75,azul
94,536.41,azul
95,536.06,azul
96,529.71,azul
97,532.37,azul
98,529.02,azul
99,531.67,azul
100,538.33,azul
101,534.98,azul
102,534.63,azul
103,538.29,azul
104,539.94,azul
105,535.59,azul
106,536.25,azul
107,540.9,azul
108,544.55,azul
109,539.21,azul
110,540.86,azul
111,543.51,azul
112,549.17,azul
113,540.82,azul
114,548.47,azul
115,542.13,azul
116,542.78,azul
117,541.43,azul
118,552.09,azul
119,543.74,azul
120,553.39,azul
121,545.05,azul
122,550.7,azul
123,551.35,verde
124,555.01,verde
125,555.66,verde
126,550.31,verde
127,552.96,verde
128,551.62,verde
129,552.27,verde
130,557.92,verde
131,557.58,verde
132,549.23,verde
133,554.88,verde
134,558.54,verde
135,556.19,verde
136,556.84,verde
137,553.5,verde
138,561.15,verde
139,558.8,verde
140,562.46,verde
141,562.11,verde
142,564.76,verde
143,565.42,verde
144,563.07,verde
145,566.72,verde
146,563.38,verde
147,568.03,verde
148,564.68,verde
149,574.34,verde
150,570.99,verde
151,568.64,verde
152,571.3,verde
153,567.95,verde
154,568.6,verde
155,570.26,verde
156,567.91,verde
157,576.56,verde
158,567.22,verde
159,571.87,verde
160,571.52,verde
161,572.18,verde
162,576.83,verde
163,583.48,verde
164,576.14,verde
165,583.79,verde
166,573.44,verde
167,577.1,verde
168,582.75,verde
169,576.4,verde
170,578.06,verde
171,582.71,verde
172,581.36,verde
173,585.02,verde
174,578.67,verde
175,585.32,verde
176,583.97,verde
177,586.63,verde
178,584.28,verde
179,585.93,verde
180,587.59,verde
181,587.24,verde
182,582.89,verde
183,589.55,verde
184,595.2,verde
185,587.85,verde
186,589.51,verde
187,596.16,verde
188,591.81,verde
189,600.47,verde
190,591.12,verde
191,598.77,verde
192,591.43,verde
193,596.08,verde
194,597.73,verde
195,598.39,verde
196,602.04,verde
197,596.69,verde
198,600.35,verde
199,598.0,verde
