,comprimento de onda,cor
0,464.0,azul
1,467.65,azul
2,471.31,azul
3,464.96,azul
4,471.61,azul
5,472.27,azul
6,469.92,azul
7,468.57,azul
8,468.23,azul
9,474.88,azul
10,470.53,azul
11,468.19,azul
12,474.84,azul
13,475.49,azul
14,472.15,azul
15,472.8,azul
16,477.45,azul
17,476.11,azul
18,474.76,azul
19,473.41,azul
20,477.07,azul
21,478.72,azul
22,480.37,azul
23,480.03,azul
24,480.68,azul
25,481.33,azul
26,480.98,azul
27,482.64,azul
28,481.29,azul
29,481.94,azul
30,484.6,azul
31,484.25,azul
32,482.9,azul
33,484.56,azul
34,488.21,azul
35,486.86,azul
36,486.52,azul
37,484.17,azul
38,489.82,azul
39,493.48,azul
40,489.13,azul
41,490.78,azul
42,493.44,azul
43,493.09,azul
44,497.74,azul
45,492.4,azul
46,495.05,azul
47,495.7,azul
48,497.36,azul
49,495.01,azul
50,494.66,azul
51,499.32,azul
52,500.97,azul
53,497.62,azul
54,500.28,azul
55,499.93,azul
56,501.58,azul
57,505.24,azul
58,505.89,azul
59,502.54,azul
60,502.2,azul
61,504.85,azul
62,502.5,azul
63,508.16,azul
64,508.81,azul
65,510.46,azul
66,511.12,azul
67,507.77,azul
68,508.42,azul
69,508.08,azul
70,508.73,azul
71,513.38,azul
72,512.04,azul
73,513.69,azul
74,512.3399999999999,azul
75,512.99,azul
76,512.65,azul
77,512.3,azul
78,516.95,azul
79,514.61,azul
80,517.26,azul
81,518.91,azul
82,518.57,azul
83,515.22,azul
84,520.87,azul
85,520.53,azul
86,528.18,azul
87,521.83,azul
88,524.49,azul
89,519.14,azul
90,520.79,azul
91,524.45,azul
92,527.1,azul
93,522.75,azul
94,526.41,azul
95,527.06,azul
96,525.71,azul
97,528.37,azul
98,534.02,azul
99,527.67,azul
100,532.33,azul
101,530.98,azul
102,527.63,azul
103,532.29,azul
104,532.94,azul
105,530.59,azul
106,534.25,azul
107,535.9,azul
108,534.55,azul
109,535.21,azul
110,537.86,azul
111,534.51,azul
112,539.17,azul
113,541.82,azul
114,537.47,azul
115,544.13,azul
116,540.78,azul
117,547.43,azul
118,541.09,azul
119,543.74,azul
120,542.39,azul
121,544.05,azul
122,540.7,azul
123,546.35,verde
124,545.01,verde
125,545.66,verde
126,546.31,verde
127,546.96,verde
128,550.62,verde
129,548.27,verde
130,548.92,verde
131,551.58,verde
132,553.23,verde
133,550.88,verde
134,551.54,verde
135,552.19,verde
136,550.84,verde
137,553.5,verde
138,555.15,verde
139,554.8,verde
140,559.46,verde
141,556.11,verde
142,557.76,verde
143,557.42,verde
144,561.07,verde
145,556.72,verde
146,560.38,verde
147,563.03,verde
148,558.68,verde
149,568.34,verde
150,563.99,verde
151,562.64,verde
152,564.3,verde
153,562.95,verde
154,569.6,verde
155,573.26,verde
156,562.91,verde
157,564.56,verde
158,564.22,verde
159,566.87,verde
160,571.52,verde
161,572.18,verde
162,566.83,verde
163,570.48,verde
164,568.14,verde
165,570.79,verde
166,569.44,verde
167,574.1,verde
168,573.75,verde
169,576.4,verde
170,576.06,verde
171,582.71,verde
172,575.36,verde
173,577.02,verde
174,583.67,verde
175,583.32,verde
176,577.97,verde
177,583.63,verde
178,582.28,verde
179,583.93,verde
180,578.59,verde
181,584.24,verde
182,582.89,verde
183,584.55,verde
184,586.2,verde
185,582.85,verde
186,585.51,verde
187,587.16,verde
188,588.81,verde
189,588.47,verde
190,587.12,verde
191,587.77,verde
192,590.43,verde
193,589.08,verde
194,590.73,verde
195,597.39,verde
196,599.04,verde
197,594.69,verde
198,593.35,verde
199,596.0,verde
