,TP_ESCOLA,TP_PRESENCA_CH,TP_PRESENCA_CN,TP_PRESENCA_LC,NU_IDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
0,1,1,1,1,24,1,4,,0,436.3,495.4,581.2,399.4,1.0,520.0
1,2,1,1,1,17,2,0,1.0,0,474.5,544.1,599.0,459.8,1.0,580.0
2,1,0,0,0,21,3,0,,0,,,,,,
3,1,0,0,0,25,1,9,,0,,,,,,
4,1,0,0,0,28,1,4,,0,,,,,,
5,1,1,1,1,18,1,1,,0,439.7,583.2,410.9,364.5,1.0,620.0
6,2,1,1,1,18,2,0,1.0,0,420.1,604.2,484.5,529.2,1.0,560.0
7,1,1,1,1,18,1,1,,0,619.6,625.8,611.2,566.7,1.0,620.0
8,2,1,1,1,16,2,0,1.0,0,500.5,555.2,521.8,372.4,1.0,680.0
9,1,0,0,0,24,4,0,,0,,,,,,
10,1,1,1,1,29,1,8,,0,413.4,407.9,533.9,419.6,1.0,520.0
11,2,1,1,1,17,2,0,1.0,0,503.4,509.6,490.1,369.9,1.0,580.0
12,1,1,1,1,27,1,7,,0,402.6,556.9,599.0,464.2,1.0,360.0
13,1,0,0,0,19,1,2,,0,,,,,,
14,1,1,1,1,18,1,2,,0,477.8,462.9,511.9,453.4,1.0,360.0
15,1,0,0,0,18,1,1,,0,,,,,,
16,1,1,1,1,16,3,0,,1,561.8,640.8,596.5,480.4,1.0,720.0
17,2,1,1,1,24,2,0,1.0,0,474.4,540.0,517.4,402.4,1.0,460.0
18,1,1,1,1,20,1,1,,0,395.5,425.2,569.5,475.8,1.0,520.0
19,1,1,1,0,21,4,0,,0,393.3,429.6,,,,
20,2,1,1,1,18,2,0,1.0,0,471.9,628.0,588.2,518.0,1.0,780.0
21,1,0,0,0,24,1,4,,0,,,,,,
22,1,0,0,0,24,1,6,,0,,,,,,
23,1,0,0,0,17,3,0,,1,,,,,,
24,1,0,0,0,30,1,10,,0,,,,,,
25,1,1,1,1,18,1,1,,0,484.8,485.3,559.1,475.3,1.0,500.0
26,1,0,0,0,22,1,5,,0,,,,,,
27,2,1,1,1,19,2,0,3.0,0,473.2,439.1,472.8,430.8,1.0,400.0
28,2,1,1,1,19,2,0,1.0,0,390.4,521.3,522.5,377.3,1.0,440.0
29,1,1,1,1,21,1,4,,0,475.8,530.0,483.1,467.3,1.0,520.0
30,1,1,1,1,21,1,2,,0,413.6,522.3,530.1,553.9,1.0,780.0
31,2,1,1,1,17,2,0,1.0,0,510.0,560.2,424.6,394.0,1.0,720.0
32,2,1,1,1,19,2,0,1.0,0,440.0,477.2,470.5,415.5,1.0,600.0
33,2,1,1,1,17,2,0,1.0,0,430.6,544.2,402.9,427.3,1.0,620.0
34,1,1,1,1,24,1,6,,0,449.7,485.0,518.5,508.0,1.0,520.0
35,2,1,1,1,17,2,0,1.0,0,465.7,559.7,542.5,563.6,1.0,760.0
36,2,1,1,1,18,2,0,1.0,0,477.3,554.3,441.9,383.2,1.0,420.0
37,2,0,0,0,17,2,0,1.0,0,,,,,,
38,1,1,1,1,15,3,0,,1,467.8,512.9,452.4,470.0,1.0,600.0
39,1,1,1,1,18,1,1,,0,407.8,559.8,479.3,435.4,1.0,640.0
